product_id,nom,marque,description,prix,stock,category_id,category_name,product_type,available_sizes,status,deleted,created_at
1,Ballon Match Pro,Adidas Soccer,Ballon Match Pro de haute qualite pour football,38.86,75,1,Football,equipement,Junior|Standard|Pro,EN_STOCK,False,2024-07-31 00:00:00
2,Crampons Elite,New Balance FC,Crampons Elite de haute qualite pour football,117.04,138,1,Football,chaussure,38|39|40|41|42|43|44|45,EN_ARRIVAGE,False,2024-07-06 00:00:00
3,Maillot Training,Under Armour,Maillot Training de haute qualite pour football,63.04,69,1,Football,vetement,XS|S|M|L|XL|XXL,RUPTURE_DE_STOCK,False,2024-05-11 00:00:00
4,Protege-tibias Carbon,Nike Football,Protege-tibias Carbon de haute qualite pour football,44.92,75,1,Football,accessoire,Unique|S/M|L/XL,EN_STOCK,False,2024-06-22 00:00:00
5,Gants Gardien Pro,Adidas Soccer,Gants Gardien Pro de haute qualite pour football,82.72,19,1,Football,accessoire,Unique|S/M|L/XL,EN_STOCK,False,2025-05-09 00:00:00
6,Short Match,New Balance FC,Short Match de haute qualite pour football,36.89,185,1,Football,vetement,XS|S|M|L|XL|XXL,EN_STOCK,False,2024-07-22 00:00:00
7,Chaussettes Performance,Nike Football,Chaussettes Performance de haute qualite pour football,14.73,101,1,Football,vetement,XS|S|M|L|XL|XXL,EN_STOCK,False,2024-10-01 00:00:00
8,Sac Sport XL,New Balance FC,Sac Sport XL de haute qualite pour football,51.36,172,1,Football,accessoire,Unique|S/M|L/XL,EN_STOCK,False,2024-05-14 00:00:00
9,Ballon Indoor/Outdoor,Jordan Brand,Ballon Indoor/Outdoor de haute qualite pour basketball,39.61,163,2,Basketball,equipement,Junior|Standard|Pro,EN_ARRIVAGE,False,2024-02-25 00:00:00
10,Chaussures High-Top,Spalding,Chaussures High-Top de haute qualite pour basketball,155.35,158,2,Basketball,chaussure,38|39|40|41|42|43|44|45,EN_ARRIVAGE,False,2024-10-14 00:00:00
11,Maillot Reversible,Wilson NBA,Maillot Reversible de haute qualite pour basketball,56.58,56,2,Basketball,vetement,XS|S|M|L|XL|XXL,EN_STOCK,False,2024-11-21 00:00:00
12,Short Respirant,Jordan Brand,Short Respirant de haute qualite pour basketball,43.9,77,2,Basketball,vetement,XS|S|M|L|XL|XXL,EN_STOCK,False,2024-02-29 00:00:00
13,Bandeau Elastique,Nike Basketball,Bandeau Elastique de haute qualite pour basketball,8.22,9,2,Basketball,accessoire,Unique|S/M|L/XL,EN_STOCK,False,2024-09-09 00:00:00
14,Panier Portable,Spalding,Panier Portable de haute qualite pour basketball,169.71,137,2,Basketball,equipement,Junior|Standard|Pro,EN_STOCK,False,2024-08-20 00:00:00
15,Genouilleres Pro,Wilson NBA,Genouilleres Pro de haute qualite pour basketball,28.37,190,2,Basketball,accessoire,Unique|S/M|L/XL,EN_STOCK,False,2024-10-03 00:00:00
16,Sac a Dos Basket,Nike Basketball,Sac a Dos Basket de haute qualite pour basketball,60.14,186,2,Basketball,accessoire,Unique|S/M|L/XL,EN_STOCK,False,2024-07-31 00:00:00
17,Raquette Pro 300g,Babolat,Raquette Pro 300g de haute qualite pour tennis,231.19,157,3,Tennis,equipement,Junior|Standard|Pro,EN_STOCK,False,2025-05-02 00:00:00
18,Balles Championship x4,Head Sport,Balles Championship x4 de haute qualite pour tennis,10.6,94,3,Tennis,equipement,Junior|Standard|Pro,EN_STOCK,False,2024-08-15 00:00:00
19,Sac Raquettes 6R,Dunlop Sport,Sac Raquettes 6R de haute qualite pour tennis,98.21,25,3,Tennis,accessoire,Unique|S/M|L/XL,EN_ARRIVAGE,False,2024-07-07 00:00:00
20,Grip Overgrip x3,Babolat,Grip Overgrip x3 de haute qualite pour tennis,11.25,165,3,Tennis,accessoire,Unique|S/M|L/XL,EN_STOCK,False,2024-07-22 00:00:00
21,Chaussures Court Clay,Yonex Tennis,Chaussures Court Clay de haute qualite pour tennis,107.38,31,3,Tennis,chaussure,38|39|40|41|42|43|44|45,EN_ARRIVAGE,False,2025-02-25 00:00:00
